AGS;turnout;elec_cdu_csu;elec_spd;elec_greens;elec_fdp;elec_linke;elec_afd;elec_others
15153;;;;;;;;
15154;;;;;;;;
15159;;;;;;;;
15171;;;;;;;;
15202;;;;;;;;
15256;;;;;;;;
15260;;;;;;;;
15261;;;;;;;;
15265;;;;;;;;
15266;;;;;;;;
15268;;;;;;;;
15303;;;;;;;;
15352;;;;;;;;
15355;;;;;;;;
15357;;;;;;;;
15358;;;;;;;;
15362;;;;;;;;
15363;;;;;;;;
15364;;;;;;;;
15367;;;;;;;;
15369;;;;;;;;
15370;;;;;;;;
16051;60.700;19.728;12.238;14.760;4.717;15.793;16.811;15.953
16052;56.800;18.206;9.238;7.109;4.326;17.308;29.616;14.197
16053;65.000;15.723;12.028;20.360;6.505;15.662;12.727;16.996
16054;56.500;24.855;11.384;8.353;3.242;19.538;18.442;14.186
16055;63.000;20.037;11.450;19.406;4.115;15.053;14.007;15.932
16056;59.500;20.025;12.595;10.336;4.307;14.875;20.030;17.833
16061;65.900;41.793;8.240;7.352;4.249;7.219;18.679;12.468
16062;58.900;23.162;13.336;7.483;4.465;16.106;22.318;13.130
16063;62.600;27.920;10.843;6.551;3.832;12.863;22.944;15.047
16064;59.500;26.838;11.900;6.927;4.478;12.366;23.114;14.376
16065;59.500;23.981;13.453;4.684;3.677;16.177;23.243;14.786
16066;61.200;26.053;13.262;6.979;3.945;13.171;22.258;14.332
16067;59.900;24.149;14.162;7.536;3.896;12.407;22.765;15.085
16068;61.200;27.658;9.011;6.080;4.373;13.656;24.744;14.477
16069;64.600;25.691;10.017;5.588;3.254;14.038;24.190;17.222
16070;63.400;22.560;10.201;8.394;4.190;13.652;25.227;15.775
16071;65.800;27.622;8.681;7.551;4.571;11.574;24.383;15.616
16072;57.500;26.192;9.515;6.216;3.258;14.826;26.412;13.580
16073;61.000;23.047;10.589;6.297;4.583;12.899;27.611;14.973
16074;66.100;25.774;8.994;7.218;5.238;14.246;23.153;15.377
16075;63.400;25.052;9.106;5.412;4.675;13.723;27.057;14.975
16076;64.100;27.967;9.334;5.822;4.395;12.346;25.543;14.593
16077;56.600;25.474;10.935;5.484;3.916;13.518;27.138;13.534
